host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,sample,mode,bump_left,bump_right,left_encoder_deg,right_encoder_deg,delta_left_encoder_deg,delta_right_encoder_deg,left_distance_m,right_distance_m,x_m,y_m,theta_deg,gyro_z_deg,turn_target_deg,left_cmd_milli,right_cmd_milli,bump_any,contact_x_m,contact_y_m,contact_type
2026-06-17T16:37:26.6135541-07:00,1781739446613,11952259,1500310,30,BACKUP,1,1,696,708,19,21,0.18342,0.19506,0.18859,0.01492,7.018,17.017,90.0,-100,-100,True,0.24317792989531029,0.021639963522571297,both
2026-06-17T16:37:26.6235533-07:00,1781739446623,12003415,1551466,31,BACKUP,0,1,679,691,-17,-17,0.17871,0.19035,0.18392,0.01435,7.018,16.256,90.0,-100,-100,True,0.24156245876920632,-0.0037427318843879266,right
2026-06-17T16:37:27.3173409-07:00,1781739447317,15452259,5000310,100,BACKUP,0,1,2052,1628,23,23,0.55913,0.44996,0.2722,-0.31064,-65.839,-67.303,45.0,-100,-100,True,0.2719016410500062,-0.3710544931447493,right
2026-06-17T16:37:27.3263412-07:00,1781739447326,15503352,5051403,101,BACKUP,0,1,2037,1612,-15,-16,0.55497,0.44553,0.27045,-0.30672,-66.007,-67.849,45.0,-100,-100,True,0.2699744980404347,-0.3671333586045872,right
2026-06-17T16:37:27.8983811-07:00,1781739447898,18352256,7900307,158,BACKUP,0,1,2026,1860,0,0,0.55193,0.51424,0.31245,-0.30639,-22.726,-18.681,45.0,-100,-100,True,0.35352184224579225,-0.3506969269362789,right
2026-06-17T16:37:27.9093833-07:00,1781739447909,18403354,7951405,159,BACKUP,0,1,2011,1844,-15,-16,0.54777,0.50981,0.30849,-0.30471,-22.893,-18.813,45.0,-100,-100,True,0.3494325265730276,-0.3491364506551775,right
2026-06-17T16:37:28.2410490-07:00,1781739448241,20052258,9600309,192,BACKUP,0,1,2306,2434,9,5,0.6295,0.67328,0.41922,-0.23329,26.403,36.619,45.0,-100,-100,True,0.47959991823658094,-0.23122469766285875,right
2026-06-17T16:37:28.5954159-07:00,1781739448595,21803364,11351415,227,BACKUP,1,0,2598,3018,10,15,0.71041,0.83509,0.43987,-0.10354,75.197,92.5,45.0,-100,-100,True,0.4297520506144282,-0.04397803982212298,left
2026-06-17T16:37:29.1743020-07:00,1781739449174,24103359,13651410,273,BACKUP,1,0,2848,3012,0,0,0.77968,0.83343,0.48405,-0.09924,32.418,44.854,45.0,-100,-100,True,0.5170764746394271,-0.04865095006929583,left
2026-06-17T16:37:29.1963024-07:00,1781739449196,24152260,13700311,274,BACKUP,1,0,2837,2995,-11,-17,0.77663,0.82872,0.48074,-0.10127,31.416,44.053,45.0,-100,-100,True,0.514646090689545,-0.0512662300006055,left
2026-06-17T16:37:29.6474360-07:00,1781739449647,25752257,15300308,306,BACKUP,1,0,3350,3262,6,10,0.91877,0.9027,0.58853,-0.14017,-9.692,-4.979,45.0,-100,-100,True,0.6469537778708487,-0.12478617150064009,left
2026-06-17T16:37:30.0119662-07:00,1781739450011,27803355,17351406,347,BACKUP,0,1,4004,3671,9,4,1.09997,1.01602,0.66619,-0.27559,-50.633,-50.643,45.0,-100,-100,True,0.6817482183987812,-0.3339675799451795,right
2026-06-17T16:37:30.4678726-07:00,1781739450467,30603363,20151414,403,BACKUP,0,1,4254,4172,0,0,1.16924,1.15483,0.77861,-0.26513,-8.689,-3.726,45.0,-100,-100,True,0.8292019839656639,-0.2981519799287991,right
2026-06-17T16:37:30.4768740-07:00,1781739450476,30652260,20200311,404,BACKUP,0,1,4238,4162,-16,-10,1.16481,1.15206,0.77505,-0.26464,-7.687,-2.312,45.0,-100,-100,True,0.8262117132335269,-0.2967722127935557,right
2026-06-17T16:37:30.8174246-07:00,1781739450817,32652257,22200308,444,BACKUP,1,0,4260,4503,0,0,1.1709,1.24654,0.80633,-0.21455,45.62,58.207,45.0,-100,-100,True,0.8269298428763793,-0.15775522494570043,left
2026-06-17T16:37:30.8244246-07:00,1781739450824,32703347,22251398,445,BACKUP,1,0,4245,4484,-15,-19,1.16674,1.24128,0.803,-0.21787,44.951,57.731,45.0,-100,-100,True,0.8242615737308352,-0.16131961996159302,left
