detected_index,source_row,sample,mode,contact_type,detected_wall_x_m,detected_wall_y_m,nearest_gt_wall,nearest_gt_x_m,nearest_gt_y_m,error_m,error_cm,error_pct_wall_thickness,error_pct_maze_diagonal,error_pct_total_wall_length
0,,,,both,0.233253,0.020418,gt_wall_003,0.281940,0.020418,0.048687,4.869,243.44,4.75,1.88
1,,,,single_or_backup,0.267809,-0.361931,gt_wall_000,0.267809,-0.387350,0.025419,2.542,127.10,2.48,0.98
2,,,,single_or_backup,0.344298,-0.346834,gt_wall_000,0.344298,-0.387350,0.040516,4.052,202.58,3.95,1.56
3,,,,single_or_backup,0.470643,-0.235672,gt_wall_008,0.434340,-0.235672,0.036303,3.630,181.51,3.54,1.40
4,,,,single_or_backup,0.427197,-0.053646,gt_wall_005,0.427197,-0.076200,0.022554,2.255,112.77,2.20,0.87
5,,,,single_or_backup,0.508635,-0.054012,gt_wall_005,0.508635,-0.076200,0.022188,2.219,110.94,2.16,0.86
6,,,,single_or_backup,0.637097,-0.123103,gt_wall_006,0.631190,-0.123103,0.005907,0.591,29.53,0.58,0.23
7,,,,single_or_backup,0.675405,-0.326237,gt_wall_000,0.675405,-0.387350,0.061113,6.111,305.57,5.96,2.36
8,,,,single_or_backup,0.819317,-0.296641,gt_wall_007,0.819317,-0.222250,0.074391,7.439,371.95,7.26,2.87
9,,,,single_or_backup,0.819936,-0.164902,gt_wall_007,0.819936,-0.222250,0.057348,5.735,286.74,5.59,2.21
